tempo (s),entrada (V),saida (V)
35.00795245170593,1.5,1.24
35.11035656929016,1.5,1.22
35.212748765945435,1.5,1.23
35.311129093170166,1.5,1.22
35.413437366485596,1.5,1.21
35.515825510025024,1.5,1.21
35.61409950256348,1.5,1.19
35.71655821800232,1.5,1.23
35.81894254684448,1.5,1.21
35.917213678359985,1.5,1.24
36.01972436904907,1.5,1.23
36.12203311920166,1.5,1.24
36.22030735015869,1.5,1.23
36.32272028923035,1.5,1.22
36.4250226020813,1.5,1.21
36.52344751358032,1.5,1.2
36.62610125541687,1.5,1.23
36.72812604904175,1.5,1.22
36.826600074768066,1.5,1.25
36.928966760635376,1.5,1.23
37.03121781349182,1.5,1.25
37.12969517707825,1.5,1.24
37.232099771499634,1.5,1.22
37.334312438964844,1.5,1.22
37.432766914367676,1.5,1.2
37.53515267372131,1.5,1.24
37.637388467788696,1.5,1.22
37.73609447479248,1.5,1.25
37.838505029678345,1.5,1.23
37.94047975540161,1.5,1.25
38.03901147842407,1.5,1.24
38.14125847816467,1.5,1.22
38.243576526641846,1.5,1.22
38.34195804595947,1.5,1.2
38.44429898262024,1.5,1.24
38.54664635658264,1.5,1.22
38.645018100738525,1.5,1.25
38.74739193916321,1.5,1.23
38.849764347076416,1.5,1.25
38.94814324378967,1.5,1.24
39.05054473876953,1.5,1.22
39.1528754234314,1.5,1.22
39.25121784210205,1.5,1.2
39.353646993637085,1.5,1.24
39.45595049858093,1.5,1.22
39.55427527427673,1.5,1.25
39.65669894218445,1.5,1.23
39.75919151306152,1.5,1.26
39.85739088058472,1.5,1.24
39.95978617668152,1.5,1.22
40.0621178150177,2.0,1.21
40.16050410270691,2.0,1.2
40.26283550262451,2.0,1.23
40.365251302719116,2.0,1.22
40.463534355163574,2.0,1.25
40.566030502319336,2.0,1.23
40.66830515861511,2.0,1.26
40.76679873466492,2.0,1.24
40.869012117385864,2.0,1.25
40.971373558044434,2.0,1.25
41.06976938247681,2.0,1.23
41.17221999168396,2.0,1.26
41.274479389190674,2.0,1.24
41.3728301525116,2.0,1.27
41.475215911865234,2.0,1.25
41.573593854904175,2.0,1.27
41.67591118812561,2.0,1.26
41.778358936309814,2.0,1.25
41.87661337852478,2.0,1.25
41.97914409637451,2.0,1.23
42.08153676986694,2.0,1.26
42.1796977519989,2.0,1.24
42.28215980529785,2.0,1.27
42.38447570800781,2.0,1.25
42.482853412628174,2.0,1.27
42.58521914482117,2.0,1.26
42.687522411346436,2.0,1.24
42.7859046459198,2.0,1.24
42.88825440406799,2.0,1.23
42.99064803123474,2.0,1.25
43.08913969993591,2.0,1.24
43.19139742851257,2.0,1.26
43.293699741363525,2.0,1.25
43.392075300216675,2.0,1.27
43.49453639984131,2.0,1.26
43.59677195549011,2.0,1.23
43.695558309555054,2.0,1.24
43.797640800476074,2.0,1.23
43.89989519119263,2.0,1.25
43.998228788375854,2.0,1.24
44.100746631622314,2.0,1.26
44.20301103591919,2.0,1.25
44.30137491226196,2.0,1.27
44.40370488166809,2.0,1.26
44.506097078323364,2.0,1.23
44.60445213317871,2.0,1.25
44.706801414489746,2.0,1.23
44.809187173843384,2.0,1.26
44.90752387046814,2.0,1.24
45.009894609451294,2.0,1.27
45.11223745346069,2.0,1.25
45.2107515335083,2.0,1.27
45.31296920776367,2.0,1.26
45.41533589363098,2.0,1.24
45.51375436782837,2.0,1.27
45.61608386039734,2.0,1.25
45.718384981155396,2.0,1.28
45.816731452941895,2.0,1.26
45.91937255859375,2.0,1.28
46.021453619003296,2.0,1.26
46.119909048080444,2.0,1.28
46.2222740650177,2.0,1.27
46.32464122772217,2.0,1.25
46.423107624053955,2.0,1.28
46.52539253234863,2.0,1.26
46.627650022506714,2.0,1.28
46.72604703903198,2.0,1.26
46.828537940979004,2.0,1.29
46.930838108062744,2.0,1.27
47.02917003631592,2.0,1.28
47.13153338432312,2.0,1.27
47.229910373687744,2.0,1.25
47.33222699165344,2.0,1.28
47.434704303741455,2.0,1.26
47.53307604789734,2.0,1.28
47.63535666465759,2.0,1.26
47.73783755302429,2.0,1.29
47.836058139801025,2.0,1.27
47.9384400844574,2.0,1.28
48.040839195251465,2.0,1.27
48.139139890670776,2.0,1.25
48.24172568321228,2.0,1.28
48.34396028518677,2.0,1.26
48.442225217819214,2.0,1.28
48.54469919204712,2.0,1.26
48.6470730304718,2.0,1.29
48.7453179359436,2.0,1.27
48.847687005996704,2.0,1.27
48.95005917549133,2.0,1.26
49.04858136177063,2.0,1.24
49.15078115463257,2.0,1.27
49.2530837059021,2.0,1.25
49.35153937339783,2.0,1.28
49.45392966270447,2.0,1.26
49.55621361732483,2.0,1.28
49.65459203720093,2.0,1.27
49.75705814361572,2.0,1.26
49.85928750038147,2.0,1.26
49.957703590393066,2.0,1.24
50.060033321380615,2.0,1.26
50.1623899936676,2.5,1.25
50.260780572891235,2.5,1.27
50.36307096481323,2.5,1.25
50.465473890304565,2.5,1.28
50.56388258934021,2.5,1.26
50.6661958694458,2.5,1.28
50.76854920387268,2.5,1.29
50.86697220802307,2.5,1.26
50.969290256500244,2.5,1.29
51.07163715362549,2.5,1.27
51.170034885406494,2.5,1.29
51.27239775657654,2.5,1.27
51.374760389328,2.5,1.29
51.47311973571777,2.5,1.28
51.57546925544739,2.5,1.3
51.67782545089722,2.5,1.29
51.77627873420715,2.5,1.27
51.878549337387085,2.5,1.29
51.98094892501831,2.5,1.27
52.07929754257202,2.5,1.29
52.1816840171814,2.5,1.27
52.284077644348145,2.5,1.3
52.38247537612915,2.5,1.28
52.484774589538574,2.5,1.3
52.58719539642334,2.5,1.29
52.685476779937744,2.5,1.27
52.78785228729248,2.5,1.29
52.89020109176636,2.5,1.27
52.98854660987854,2.5,1.29
53.09099745750427,2.5,1.27
53.19327998161316,2.5,1.3
53.29166626930237,2.5,1.28
53.39402437210083,2.5,1.3
53.496365785598755,2.5,1.29
53.59477877616882,2.5,1.28
53.697163343429565,2.5,1.3
53.799498081207275,2.5,1.28
53.89792990684509,2.5,1.3
54.00034689903259,2.5,1.28
54.10255980491638,2.5,1.3
54.20097541809082,2.5,1.29
54.30333638191223,2.5,1.31
54.405704736709595,2.5,1.29
54.50401043891907,2.5,1.3
54.606404066085815,2.5,1.32
54.704732179641724,2.5,1.3
54.807148694992065,2.5,1.32
54.90947651863098,2.5,1.29
55.00787901878357,2.5,1.31
55.11021542549133,2.5,1.29
55.21256756782532,2.5,1.31
55.310858488082886,2.5,1.3
55.41342735290527,2.5,1.31
55.515745878219604,2.5,1.33
55.61400032043457,2.5,1.31
55.71637535095215,2.5,1.32
55.81876850128174,2.5,1.3
55.917123794555664,2.5,1.32
56.019487142562866,2.5,1.3
56.121830463409424,2.5,1.32
56.22021007537842,2.5,1.3
56.32257032394409,2.5,1.31
56.42496347427368,2.5,1.33
56.523375272750854,2.5,1.3
56.62577939033508,2.5,1.32
56.727951526641846,2.5,1.3
56.826390743255615,2.5,1.32
56.928749561309814,2.5,1.3
57.03108477592468,2.5,1.32
57.129536151885986,2.5,1.3
57.231833934783936,2.5,1.31
57.33429265022278,2.5,1.32
57.432679414749146,2.5,1.3
57.5349178314209,2.5,1.32
57.63729906082153,2.5,1.3
57.73579478263855,2.5,1.32
57.83809280395508,2.5,1.29
57.94038915634155,2.5,1.31
58.038763999938965,2.5,1.3
58.1411075592041,2.5,1.31
58.24338626861572,2.5,1.32
58.34180998802185,2.5,1.3
58.44419884681702,2.5,1.32
58.54656982421875,2.5,1.29
58.64501357078552,2.5,1.31
58.74730110168457,2.5,1.29
58.849628925323486,2.5,1.31
58.94808626174927,2.5,1.3
59.05040431022644,2.5,1.31
59.152669191360474,2.5,1.32
59.251086950302124,2.5,1.29
59.35345005989075,2.5,1.31
59.45580053329468,2.5,1.29
59.55432391166687,2.5,1.31
59.65654444694519,2.5,1.29
59.758851766586304,2.5,1.31
59.85727000236511,2.5,1.29
59.95961117744446,2.5,1.31
60.06200647354126,2.5,1.31
60.160311460494995,2.5,1.28
60.26274085044861,3.0,1.3
60.365073680877686,3.0,1.28
60.46344709396362,3.0,1.3
60.565898180007935,3.0,1.28
60.66814589500427,3.0,1.3
60.7666552066803,3.0,1.29
60.868977069854736,3.0,1.31
60.9712336063385,3.0,1.33
61.06959676742554,3.0,1.33
61.17202281951904,3.0,1.35
61.27436113357544,3.0,1.32
61.37273335456848,3.0,1.34
61.47510290145874,3.0,1.32
61.57746410369873,3.0,1.34
61.675798416137695,3.0,1.32
61.77814841270447,3.0,1.34
61.880542278289795,3.0,1.36
61.97897171974182,3.0,1.35
62.08130073547363,3.0,1.37
62.17959785461426,3.0,1.34
62.281962394714355,3.0,1.36
62.384315729141235,3.0,1.33
62.48277044296265,3.0,1.35
62.5851149559021,3.0,1.33
62.68755578994751,3.0,1.35
62.78577923774719,3.0,1.36
62.88820290565491,3.0,1.36
62.990567207336426,3.0,1.37
63.088871717453,3.0,1.35
63.191359758377075,3.0,1.36
63.29360628128052,3.0,1.34
63.3920373916626,3.0,1.35
63.494354486465454,3.0,1.33
63.59668183326721,3.0,1.35
63.69504642486572,3.0,1.37
63.79742431640625,3.0,1.36
63.89973545074463,3.0,1.37
63.99828624725342,3.0,1.34
64.10052871704102,3.0,1.36
64.20284342765808,3.0,1.33
64.30136466026306,3.0,1.35
64.40369439125061,3.0,1.33
64.50601506233215,3.0,1.35
64.60433650016785,3.0,1.36
64.70667219161987,3.0,1.34
64.80903625488281,3.0,1.36
64.90742325782776,3.0,1.33
65.0098397731781,3.0,1.35
65.11214995384216,3.0,1.33
65.21060013771057,3.0,1.34
65.31284093856812,3.0,1.33
65.4152102470398,3.0,1.34
65.51360559463501,3.0,1.36
65.61593651771545,3.0,1.34
65.7183780670166,3.0,1.35
65.81670880317688,3.0,1.33
65.91902470588684,3.0,1.34
66.02140688896179,3.0,1.32
66.11987352371216,3.0,1.34
66.22220015525818,3.0,1.32
66.32449555397034,3.0,1.34
66.42296624183655,3.0,1.36
66.5252959728241,3.0,1.34
66.6276924610138,3.0,1.35
66.72598123550415,3.0,1.33
66.82831645011902,3.0,1.34
66.93065047264099,3.0,1.32
67.02908086776733,3.0,1.34
67.13147807121277,3.0,1.32
67.23377275466919,3.0,1.34
67.33212733268738,3.0,1.36
67.43446612358093,3.0,1.34
67.53690981864929,3.0,1.35
67.63527536392212,3.0,1.33
67.73754620552063,3.0,1.34
67.84005451202393,3.0,1.32
67.93842840194702,3.0,1.34
68.04072952270508,3.0,1.32
68.14307188987732,3.0,1.34
68.24141907691956,3.0,1.36
68.34380006790161,3.0,1.34
68.44612336158752,3.0,1.35
68.54453420639038,3.0,1.33
68.64686012268066,3.0,1.34
68.74919533729553,3.0,1.32
68.84756994247437,3.0,1.34
68.94991374015808,3.0,1.32
69.04829406738281,3.0,1.34
69.15064406394958,3.0,1.36
69.25308322906494,3.0,1.34
69.35139656066895,3.0,1.35
69.45377516746521,3.0,1.33
69.5561089515686,3.0,1.34
69.65443015098572,3.0,1.32
69.75684809684753,3.0,1.34
69.85921382904053,3.0,1.32
69.95754623413086,3.0,1.34
70.0599856376648,3.0,1.36
70.16229724884033,3.0,1.34
70.26064252853394,3.0,1.36
70.36304593086243,3.5,1.33
70.46538853645325,3.5,1.35
70.56373167037964,3.5,1.32
70.66619992256165,3.5,1.34
70.7684977054596,3.5,1.33
70.86687088012695,3.5,1.34
70.96921253204346,3.5,1.36
71.07155275344849,3.5,1.37
71.16990232467651,3.5,1.38
71.27229738235474,3.5,1.35
71.37465572357178,3.5,1.36
71.47308897972107,3.5,1.34
71.57541036605835,3.5,1.35
71.67771553993225,3.5,1.34
71.77609062194824,3.5,1.35
71.87854957580566,3.5,1.37
71.98081398010254,3.5,1.38
72.07921409606934,3.5,1.39
72.18154811859131,3.5,1.37
72.2838819026947,3.5,1.38
72.38229155540466,3.5,1.35
72.48465251922607,3.5,1.37
72.58707308769226,3.5,1.35
72.68547058105469,3.5,1.36
72.78773999214172,3.5,1.38
72.89006567001343,3.5,1.39
72.98849487304688,3.5,1.4
73.09089636802673,3.5,1.38
73.19315481185913,3.5,1.39
73.29155492782593,3.5,1.36
73.39390087127686,3.5,1.38
73.49626731872559,3.5,1.36
73.594642162323,3.5,1.37
73.69701671600342,3.5,1.39
73.79934358596802,3.5,1.4
73.89780282974243,3.5,1.41
74.00009489059448,3.5,1.39
74.1024968624115,3.5,1.4
74.20088171958923,3.5,1.37
74.3031632900238,3.5,1.39
74.40551400184631,3.5,1.36
74.50391054153442,3.5,1.38
74.60631346702576,3.5,1.39
74.70861053466797,3.5,1.4
74.80696439743042,3.5,1.41
74.90939450263977,3.5,1.4
75.01177334785461,3.5,1.41
75.11015510559082,3.5,1.38
75.21247053146362,3.5,1.39
75.31489706039429,3.5,1.37
75.41321849822998,3.5,1.38
75.51553893089294,3.5,1.39
75.61791849136353,3.5,1.4
75.71637749671936,3.5,1.41
75.81869339942932,3.5,1.4
75.92101955413818,3.5,1.41
76.01937174797058,3.5,1.38
76.12175726890564,3.5,1.39
